ID,  Milk,ChildBby,Vegges,Cereal, Bread,  Rice,  Meat,  Eggs,YogChese, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,SaltNPepper,Scented, Salza
145,     1,     0,     3,     9,     4,     6,     9,     3,     1,     7,     9,     6,     8,     5,     6,     4,     9,     4,     6,     5
146,     6,     5,    10,     6,     0,     6,     6,     5,     6,     3,     0,     7,     2,     6,     2,     6,    10,     7,     0,     3
147,     7,     5,     9,     7,     0,     7,     6,     2,     8,     2,     3,     6,     2,     1,     3,     7,     7,     7,     1,     3
148,     5,     3,     7,     8,     5,     6,     4,     7,     3,     8,     5,     6,     3,     4,     3,     5,     6,     4,     6,     1
149,    10,     9,    10,    10,     8,     8,     8,     5,     2,     4,     4,     7,     5,     2,     3,     4,     2,     4,     6,     3
150,     3,     3,     2,     7,     3,     7,     8,     8,     0,    10,     7,     4,     7,     4,     2,     9,    10,     4,     5,     7
151,     4,     5,     7,     5,     0,     9,     5,     4,     7,     3,     0,     7,     6,     3,     3,     7,     7,     5,     0,     1
152,     7,     4,     5,     8,     7,     4,     8,     7,     6,     9,     4,     5,     2,     8,     5,     6,    10,     5,     7,     4
153,     7,     8,     8,     6,     0,     7,     2,     8,     9,     3,     1,     4,     4,     1,     2,     5,     9,     3,     2,     3
154,    10,     8,     8,     7,     8,     6,     9,     3,     4,     3,     2,     4,     5,     5,     3,     5,     1,     4,     6,     4
155,     4,     3,     5,     6,     5,     9,     6,     4,     5,     7,     3,     5,     5,     6,     3,     4,     8,     9,     4,     2
156,     6,     4,     5,     5,     5,     6,     6,     5,     3,     8,     6,     4,     3,     6,     3,    10,     8,     4,     5,     2
157,    10,     8,     9,     9,     8,     9,     8,     5,     6,     0,     0,     6,     5,     2,     2,     5,     1,     5,     3,     3
158,     5,     2,     5,     5,     5,     6,     7,     4,     4,     9,     0,     7,     3,     6,     2,     7,     3,     7,     4,     2
159,     4,     3,     5,     8,     4,     9,     7,     3,     5,     5,     2,     5,     4,     5,     2,     4,     7,     3,     3,     1
160,     5,     3,     4,     8,     5,     8,     6,     5,     5,     8,     2,     7,     4,     4,     2,     3,     7,     7,     5,     3
161,     2,     0,     3,     7,     3,     8,     9,     9,     1,     7,    10,     6,     6,     4,     7,     5,     6,     3,     4,     7
162,     5,     3,     8,     8,     5,     9,     7,     4,     7,     7,     0,     3,     0,     7,     1,     5,     6,     6,     5,     2
163,     3,     2,     2,     9,     3,     7,     9,     6,     1,    10,     6,     5,     9,     2,     6,     5,     7,     4,     5,     5
164,     1,     2,     3,     8,     3,     2,    10,     4,     0,     9,     7,     5,     8,     3,     8,     4,     8,     7,     6,     8
165,     3,     5,     2,     9,     4,     5,     8,     3,     1,     9,     8,     6,     5,     2,     5,     5,     8,     3,     8,     6
166,     5,     6,     8,     6,     0,     6,     2,     6,     6,     4,     2,     4,     3,     2,     6,     5,     9,     3,     0,     3
167,     1,     3,     2,     7,     3,     6,     8,     4,     1,     8,     7,     4,     7,     2,     7,     4,     6,     3,     3,     5
168,     3,     2,     8,     9,     3,     5,     5,     5,     4,     7,     3,     3,     4,     5,     0,     4,     6,     4,     4,     0
169,     5,     2,     3,     8,     6,     7,     8,     3,     6,     7,     2,     6,     2,     7,     4,     4,     7,     4,     4,     0
170,     3,     3,    10,     4,     0,     4,     3,     5,     8,     0,     2,     2,     4,     3,     5,     2,     8,     7,     1,     4
171,     6,     4,    10,     7,     0,     4,     4,     3,    10,     2,     1,     5,     1,     3,     3,     5,     8,     6,     0,     2
172,     7,     7,     7,     4,     0,     9,     4,     5,     8,     3,     0,     3,     2,     2,     3,     5,     7,     3,     0,     3
173,     9,     7,     7,     8,     7,     4,     8,     5,     7,     0,     4,     8,     4,     1,     1,     3,     1,     4,     7,     2
174,    10,     8,     8,     8,     6,     6,     9,     3,     6,     0,     1,     8,     2,     2,     2,     3,     2,     4,     7,     2
175,     4,     3,     0,     7,     3,     5,     8,     5,     0,    10,    10,     6,     5,     3,     6,     5,    10,     5,     6,     8
176,     2,     3,     1,    10,     2,     4,     9,     7,     4,     9,     8,     5,     9,     0,     6,     5,     8,     5,     3,     7
177,     5,     7,     9,     6,     0,     6,     5,     6,     9,     3,     1,     6,     3,     4,     0,     3,     9,     6,     0,     2
178,     3,     5,     8,     4,     0,     7,     2,     8,     7,     1,     0,     4,     1,     1,     1,     6,     9,     2,     1,     3
179,     9,     8,     8,     8,     8,     5,     7,     6,     5,     2,     5,     7,     4,     0,     1,     5,     0,     7,     5,     2
180,     2,     9,     9,     6,     0,     8,     7,     6,     8,     2,     0,     7,     3,     1,     2,     6,     7,     3,     0,     5
181,     4,     4,     8,     6,     0,     7,     5,     5,     7,     3,     1,     6,     4,     3,     5,     4,     5,     6,     1,     5
182,     8,     9,     7,     7,     9,     5,     9,     6,     5,     1,     2,     5,     3,     3,     1,     5,     1,     6,     5,     2
183,     5,     4,     9,     7,     4,     8,     6,     5,     5,     5,     1,     6,     4,     5,     2,     5,     4,     3,     6,     1
184,     5,     3,     5,     8,     9,     5,     6,     9,     3,     7,     2,     8,     4,     7,     4,     5,     7,     6,     5,     3
185,     9,    10,     8,     9,     7,     8,     9,     6,     4,     2,     3,     4,     7,     6,     1,     4,     0,     5,     4,     2
186,     9,     7,     8,     9,     8,     8,     6,     5,     5,     2,     1,     3,     4,     2,     2,     6,     0,     5,     3,     1
187,     4,     3,     3,     9,     4,     7,     8,     4,     2,     6,     8,     5,     8,     2,     6,     4,     6,     7,     7,     8
188,     5,     6,     8,     7,     0,     7,     2,     3,     8,     3,     1,     6,     4,     1,     3,     5,     7,     4,     0,     4
189,     9,     9,     8,     7,     9,     6,     9,     7,     4,     3,     3,     9,     4,     2,     1,     6,     0,     5,     7,     2
190,     5,     5,     9,     7,     0,     6,     2,     4,     7,     0,     0,     7,     1,     5,     5,     4,     8,     6,     0,     6
191,     2,     5,     4,     9,     5,     9,     8,     5,     4,     6,     2,     6,     1,     6,     2,     3,     8,     8,     4,     0
192,     6,     8,     8,     9,     0,     8,     6,     4,     8,     0,     0,     7,     3,     2,     3,     4,     7,     7,     0,     4
193,     5,     5,     8,     9,     5,     9,     9,     7,     3,     8,     3,     5,     4,     4,     4,     4,     7,     5,     6,     1
194,     9,    10,     7,    10,     7,     9,     9,     5,     5,     3,     2,     6,     4,     1,     2,     4,     1,     4,     5,     2
195,     1,     1,     2,     7,     3,     5,     8,     3,     0,     9,     8,     5,     8,     2,     8,     7,     8,     7,     5,     6
196,     4,     2,     8,     7,     4,     6,     5,     4,     4,     8,     2,     3,     5,     6,     2,     4,     8,     6,     4,     4
197,    10,     7,     6,     7,     7,     6,     9,     3,     6,     3,     2,     6,     5,     3,     1,     4,     1,     6,     3,     2
198,    10,     9,     8,     8,     8,     9,     8,     5,     7,     3,     2,     8,     5,     3,     2,     7,     0,     4,     5,     3
199,     3,     1,     2,     9,     1,     9,     9,     3,     0,    10,     9,     6,     6,     4,     6,     4,     9,     6,     5,     5
200,     9,     7,     9,     8,    10,     6,    10,     6,     9,     1,     4,     5,     4,     5,     3,     5,     1,     6,     4,     2
201,     9,     8,     8,     6,     6,     2,     8,     5,     2,     4,     2,     6,     0,     3,     2,     5,     0,     6,     4,     0
202,     2,     4,     1,     7,     1,     6,     8,     4,     0,     9,     8,     6,     6,     2,     3,     6,     7,     8,     7,     6
203,    10,     9,    10,     6,     9,     4,     6,     5,     8,     1,     3,     6,     5,     1,     2,     2,     3,     3,     5,     0
204,     3,     1,     4,     6,     0,     8,     8,     4,     1,     7,    10,     7,     6,     2,     6,     6,     9,     3,     6,     4
205,     0,     5,     2,     6,     1,     8,     6,     6,     0,     8,     9,     5,     5,     4,     5,     4,    10,     4,     3,     7
206,     1,     2,     1,     7,     3,     8,    10,     5,     0,     9,     9,     6,     9,     4,     6,     7,     8,     5,     3,     6
207,     7,     7,     8,     5,     0,     7,     1,     5,     9,     2,     2,     5,     2,     3,     2,     4,     6,     5,     1,     3
208,    10,     7,     9,     8,    10,     8,     8,     6,     7,     2,     1,     4,     5,     2,     1,     5,     0,     4,     3,     3
209,     6,     7,     8,     8,     1,     9,     5,     4,     8,     1,     1,     6,     4,     2,     3,     5,     6,     5,     1,     2
210,     2,     3,     2,     8,     3,     6,     9,     6,     0,     6,     8,     6,     7,     2,     6,     6,     5,     3,     4,     8
211,     6,     4,     3,     6,     0,     7,     5,     2,     0,     8,    10,     4,     9,     3,     9,     4,     7,     3,     3,     5
212,     6,     6,     8,     3,     1,     8,     4,     3,     8,     1,     0,     4,     2,     2,     1,     4,     9,     6,     1,     4
213,     3,     1,     5,     8,     4,     5,     6,     8,     6,     7,     1,     4,     6,     6,     3,     7,     7,     3,     9,     0
214,     5,     6,     9,     5,     0,     5,     5,     3,     9,     2,     0,     8,     3,     1,     2,     6,     7,     3,     0,     3
215,     9,     8,     9,     7,    10,     6,     6,     6,     6,     0,     0,     5,     5,     3,     2,     7,     0,     6,     4,     6
216,     1,     2,     1,     8,     1,     5,    10,     5,     1,     9,     4,     3,     8,     3,     7,     7,     8,     5,     5,     7
217,     6,     2,     7,     8,     5,     7,     8,     4,     6,    10,     0,     5,     3,     3,     5,     5,     8,     2,     2,     2
218,     5,     3,     8,     5,     6,     5,     7,     6,     2,     8,     3,     5,     3,     9,     2,     5,     9,     3,     4,     2
219,     6,     5,     8,     6,     0,     6,     7,     6,     8,     0,     2,     6,     1,     1,     2,     5,     8,     5,     0,     4
220,     2,     1,     5,    10,     3,     8,     8,     7,     0,     9,     7,     3,     7,     0,     6,     8,     8,     4,     5,     2
221,     9,     9,     9,     9,     8,     5,     7,     5,     6,     1,     3,     5,     4,     2,     2,     5,     1,     3,     6,     2
222,     3,     5,     8,     7,     4,     7,     9,     5,     4,     6,     4,     5,     5,     7,     3,     6,     6,     6,     4,     1
